Date,Confirmed,Recovered,Deaths,Increase rate
1/22/2020,555,28,17,
1/23/2020,654,30,18,17.83783784
1/24/2020,941,36,26,43.88379205
1/25/2020,1434,39,42,52.39107333
1/26/2020,2118,52,56,47.69874477
1/27/2020,2927,61,82,38.19641171
1/28/2020,5578,107,131,90.57055005
1/29/2020,6166,126,133,10.54141269
1/30/2020,8234,143,171,33.53876095
1/31/2020,9927,222,213,20.56108817
2/1/2020,12038,284,259,21.26523622
2/2/2020,16787,472,362,39.45007476
2/3/2020,19881,623,426,18.43092869
2/4/2020,23892,852,492,20.1750415
2/5/2020,27635,1124,564,15.66633183
2/6/2020,30794,1487,634,11.43115614
2/7/2020,34391,2011,719,11.68084692
2/8/2020,37120,2616,806,7.935215609
2/9/2020,40150,3244,906,8.162715517
2/10/2020,42762,3946,1013,6.505603985
2/11/2020,44802,4683,1113,4.770590711
2/12/2020,45221,5150,1118,0.935226106
2/13/2020,60368,6295,1371,33.49549988
2/14/2020,66885,8058,1523,10.79545455
2/15/2020,69030,9395,1666,3.206997085
2/16/2020,71224,10865,1770,3.178328263
2/17/2020,73258,12583,1868,2.855778951
2/18/2020,75136,14352,2007,2.563542548
2/19/2020,75639,16121,2122,0.669452726
2/20/2020,76197,18177,2247,0.737714671
2/21/2020,76819,18890,2251,0.816305104
2/22/2020,78572,22886,2458,2.281987529
2/23/2020,78958,23394,2469,0.491269154
2/24/2020,79561,25227,2629,0.763697155
2/25/2020,80406,27905,2708,1.062078154
2/26/2020,81388,30384,2770,1.221301893
2/27/2020,82746,33277,2814,1.668550646
2/28/2020,84112,36711,2872,1.650835086
2/29/2020,86011,39782,2941,2.257704014
3/1/2020,88369,42716,2996,2.741509807
3/2/2020,90306,45602,3085,2.191945139
3/3/2020,92840,48228,3160,2.806015104
3/4/2020,95120,51170,3254,2.455838001
3/5/2020,97886,53796,3348,2.907905803
3/6/2020,101801,55865,3460,3.999550498
3/7/2020,105847,58358,3558,3.974420683
3/8/2020,109821,60694,3802,3.7544758
3/9/2020,113590,62494,3988,3.431948352
3/10/2020,118620,64404,4262,4.428206708
3/11/2020,125875,67003,4615,6.11616928
3/12/2020,128352,68324,4720,1.967825223
3/13/2020,145205,70251,5404,13.13029793
3/14/2020,156101,72624,5819,7.503873834
3/15/2020,167454,76034,6440,7.272855395
3/16/2020,181574,78088,7126,8.432166446
3/17/2020,197102,80840,7905,8.551885182
3/18/2020,214821,83312,8733,8.989761646
3/19/2020,242570,84975,9867,12.917266
3/20/2020,272208,87420,11299,12.21832873
3/21/2020,304507,91692,12973,11.86555869
3/22/2020,336953,97899,14651,10.65525587
3/23/2020,378231,98351,16505,12.2503732
3/24/2020,418041,108000,18625,10.5253139
3/25/2020,467653,113787,21181,11.86773546
3/26/2020,529591,122150,23970,13.24443551
3/27/2020,593291,130915,27198,12.02815003
3/28/2020,660693,139415,30652,11.36069821
3/29/2020,720140,149082,33925,8.997673655
3/30/2020,782389,164566,37582,8.644013664
3/31/2020,857487,178034,42107,9.598550082
4/1/2020,932605,193177,47180,8.760249427
4/2/2020,1013466,210263,52983,8.670444615
4/3/2020,1095917,225796,58787,8.135546728
4/4/2020,1176060,246152,64606,7.312871321
4/5/2020,1249754,260012,69374,6.266176896
4/6/2020,1321481,276515,74565,5.739289492
4/7/2020,1396476,300054,81937,5.675072135
4/8/2020,1480202,328661,88338,5.995520152
4/9/2020,1565278,353975,95521,5.747593909
4/10/2020,1657526,376096,102525,5.893394017
4/11/2020,1735650,402110,108502,4.713289565
4/12/2020,1834721,421722,114090,5.708005646
4/13/2020,1904838,448655,119481,3.821670979
4/14/2020,1976191,474261,125983,3.745882852
4/15/2020,2056054,511019,134176,4.04125917
4/16/2020,2152437,542107,143800,4.687765983
4/17/2020,2240190,568343,153821,4.076913749
4/18/2020,2317758,592319,159509,3.462563443
4/19/2020,2401378,623903,165043,3.607796845
4/20/2020,2472258,645738,169985,2.951638601
4/21/2020,2561043,679819,176983,3.591251399
